Date,Counts
1964-04-01,6413
1964-05-01,6424
1964-06-01,6427
1964-07-01,6461
1964-08-01,6464
1964-09-01,6491
1964-10-01,6474
1964-11-01,6467
1964-12-01,6512
1965-01-01,6505
1965-02-01,6466
1965-03-01,6532
1965-04-01,6592
1965-05-01,6619
1965-06-01,6512
1965-07-01,6472
1965-08-01,6453
1965-09-01,6470
1965-10-01,6508
1965-11-01,6558
1965-12-01,6507
1966-01-01,6423
1966-02-01,6376
1966-03-01,6410
1966-04-01,6396
1966-05-01,6434
1966-06-01,6345
1966-07-01,6304
1966-08-01,6277
1966-09-01,6040
1966-10-01,6162
1966-11-01,6220
1966-12-01,6155
1967-01-01,6021
1967-02-01,5961
1967-03-01,6074
1967-04-01,6151
1967-05-01,6040
1967-06-01,5996
1967-07-01,6047
1967-08-01,5981
1967-09-01,6037
1967-10-01,6069
1967-11-01,6010
1967-12-01,6003
1968-01-01,5953
1968-02-01,5879
1968-03-01,5912
1968-04-01,6049
1968-05-01,5984
1968-06-01,5905
1968-07-01,5924
1968-08-01,5942
1968-09-01,5893
1968-10-01,5801
1968-11-01,5623
1968-12-01,5654
1969-01-01,5771
1969-02-01,5730
1969-03-01,5743
1969-04-01,5828
1969-05-01,5686
1969-06-01,5628
1969-07-01,5689
1969-08-01,5785
1969-09-01,5832
1969-10-01,5860
1969-11-01,5850
1969-12-01,5864
1970-01-01,5791
1970-02-01,5789
1970-03-01,5794
1970-04-01,5803
1970-05-01,5841
1970-06-01,5698
1970-07-01,5689
1970-08-01,5781
1970-09-01,5869
1970-10-01,5910
1970-11-01,5794
1970-12-01,5939
1971-01-01,5909
1971-02-01,6003
1971-03-01,5955
1971-04-01,6089
1971-05-01,6132
1971-06-01,6254
1971-07-01,6265
1971-08-01,6319
1971-09-01,6323
1971-10-01,6386
1971-11-01,6348
1971-12-01,6294
1972-01-01,6227
1972-02-01,6130
1972-03-01,6391
1972-04-01,6445
1972-05-01,6410
1972-06-01,6269
1972-07-01,6356
1972-08-01,6092
1972-09-01,6347
1972-10-01,6353
1972-11-01,6148
1972-12-01,6354
1973-01-01,6365
1973-02-01,6333
1973-03-01,6308
1973-04-01,6197
1973-05-01,6126
1973-06-01,6262
1973-07-01,6313
1973-08-01,6360
1973-09-01,6472
1973-10-01,6446
1973-11-01,6475
1973-12-01,6475
1974-01-01,6453
1974-02-01,6480
1974-03-01,6417
1974-04-01,6383
1974-05-01,6281
1974-06-01,6213
1974-07-01,6094
1974-08-01,6194
1974-09-01,6149
1974-10-01,6155
1974-11-01,6192
1974-12-01,6303
1975-01-01,6318
1975-02-01,6374
1975-03-01,6389
1975-04-01,6429
1975-05-01,6438
1975-06-01,6462
1975-07-01,6447
1975-08-01,6405
1975-09-01,6427
1975-10-01,6420
1975-11-01,6356
1975-12-01,6429
1976-01-01,6417
1976-02-01,6415
1976-03-01,6418
1976-04-01,6372
1976-05-01,6413
1976-06-01,6442
1976-07-01,6468
1976-08-01,6476
1976-09-01,6488
1976-10-01,6480
1976-11-01,6493
1976-12-01,6469
1977-01-01,6434
1977-02-01,6439
1977-03-01,6454
1977-04-01,6435
1977-05-01,6436
1977-06-01,6432
1977-07-01,6343
1977-08-01,6357
1977-09-01,6368
1977-10-01,6419
1977-11-01,6482
1977-12-01,6452
1978-01-01,6343
1978-02-01,6311
1978-03-01,6298
1978-04-01,6185
1978-05-01,6052
1978-06-01,6152
1978-07-01,6159
1978-08-01,6309
1978-09-01,6317
1978-10-01,6221
1978-11-01,6262
1978-12-01,6270
1979-01-01,6179
1979-02-01,6152
1979-03-01,6077
1979-04-01,5953
1979-05-01,5997
1979-06-01,5857
1979-07-01,5863
1979-08-01,5726
1979-09-01,5780
1979-10-01,5882
1979-11-01,5889
1979-12-01,6000
1980-01-01,5973
1980-02-01,5933
1980-03-01,6015
1980-04-01,5912
1980-05-01,5915
1980-06-01,5743
1980-07-01,5744
1980-08-01,5764
1980-09-01,5760
1980-10-01,5651
1980-11-01,5557
1980-12-01,5549
1981-01-01,5732
1981-02-01,5646
1981-03-01,5618
1981-04-01,5559
1981-05-01,5488
1981-06-01,5646
1981-07-01,5664
1981-08-01,5671
1981-09-01,5753
1981-10-01,5572
1981-11-01,5596
1981-12-01,5710
1982-01-01,5830
1982-02-01,5629
1982-03-01,5815
1982-04-01,5861
1982-05-01,5916
1982-06-01,5629
1982-07-01,5415
1982-08-01,5387
1982-09-01,5258
1982-10-01,5400
1982-11-01,5463
1982-12-01,5366
1983-01-01,5512
1983-02-01,5644
1983-03-01,5762
1983-04-01,5768
1983-05-01,5601
1983-06-01,5707
1983-07-01,5818
1983-08-01,5823
1983-09-01,5864
1983-10-01,5894
1983-11-01,5923
1983-12-01,5925
1984-01-01,5977
1984-02-01,5953
1984-03-01,5865
1984-04-01,5802
1984-05-01,5672
1984-06-01,5779
1984-07-01,5813
1984-08-01,5894
1984-09-01,5920
1984-10-01,5920
1984-11-01,5902
1984-12-01,5928
1985-01-01,5945
1985-02-01,6034
1985-03-01,6052
1985-04-01,6078
1985-05-01,6100
1985-06-01,6171
1985-07-01,6147
1985-08-01,6149
1985-09-01,6229
1985-10-01,6271
1985-11-01,6340
1985-12-01,6295
1986-01-01,6276
1986-02-01,6160
1986-03-01,6261
1986-04-01,6389
1986-05-01,6408
1986-06-01,6417
1986-07-01,6424
1986-08-01,6432
1986-09-01,6451
1986-10-01,6483
1986-11-01,6391
1986-12-01,6497
1987-01-01,6581
1987-02-01,6603
1987-03-01,6612
1987-04-01,6591
1987-05-01,6549
1987-06-01,6440
1987-07-01,6393
1987-08-01,6337
1987-09-01,6287
1987-10-01,6291
1987-11-01,6245
1987-12-01,6254
1988-01-01,6081
1988-02-01,6143
1988-03-01,6168
1988-04-01,6136
1988-05-01,6152
1988-06-01,6127
1988-07-01,6017
1988-08-01,6021
1988-09-01,6015
1988-10-01,5992
1988-11-01,5969
1988-12-01,5812
1989-01-01,5736
1989-02-01,5717
1989-03-01,5449
1989-04-01,5504
1989-05-01,5402
1989-06-01,5445
1989-07-01,5615
1989-08-01,5537
1989-09-01,5470
1989-10-01,5356
1989-11-01,5226
1989-12-01,5316
1990-01-01,5419
1990-02-01,5441
1990-03-01,5373
1990-04-01,5266
1990-05-01,5246
1990-06-01,5235
1990-07-01,5381
1990-08-01,5352
1990-09-01,5453
1990-10-01,5551
1990-11-01,5630
1990-12-01,5644
1991-01-01,5774
1991-02-01,5809
1991-03-01,5421
1991-04-01,5469
1991-05-01,5501
1991-06-01,4879
1991-07-01,4920
1991-08-01,5227
1991-09-01,5473
1991-10-01,5534
1991-11-01,5551
1991-12-01,5648
1992-01-01,5632
1992-02-01,5591
1992-03-01,5724
1992-04-01,5894
1992-05-01,5846
1992-06-01,5984
1992-07-01,6060
1992-08-01,6029
1992-09-01,5995
1992-10-01,6094
1992-11-01,6057
1992-12-01,6149
1993-01-01,6126
1993-02-01,6130
1993-03-01,6048
1993-04-01,6144
1993-05-01,6181
1993-06-01,6213
1993-07-01,6224
1993-08-01,6232
1993-09-01,6273
1993-10-01,6276
1993-11-01,6302
1993-12-01,6288
1994-01-01,6299
1994-02-01,6195
1994-03-01,6201
1994-04-01,6181
1994-05-01,6248
1994-06-01,6254
1994-07-01,6287
1994-08-01,6339
1994-09-01,6370
1994-10-01,6336
1994-11-01,6328
1994-12-01,6315
1995-01-01,6363
1995-02-01,6381
1995-03-01,6350
1995-04-01,6376
1995-05-01,6395
1995-06-01,6398
1995-07-01,6402
1995-08-01,6411
1995-09-01,6398
1995-10-01,6371
1995-11-01,6377
1995-12-01,6425
1996-01-01,6432
1996-02-01,6457
1996-03-01,6511
1996-04-01,6533
1996-05-01,6533
1996-06-01,6539
1996-07-01,6541
1996-08-01,6519
1996-09-01,6514
1996-10-01,6484
1996-11-01,6477
1996-12-01,6488
1997-01-01,6532
1997-02-01,6551
1997-03-01,6558
1997-04-01,6542
1997-05-01,6558
1997-06-01,6549
1997-07-01,6546
1997-08-01,6579
1997-09-01,6574
1997-10-01,6538
1997-11-01,6489
1997-12-01,6518
1998-01-01,6526
1998-02-01,6536
1998-03-01,6543
1998-04-01,6389
1998-05-01,6280
1998-06-01,6308
1998-07-01,6382
1998-08-01,6299
1998-09-01,6380
1998-10-01,6433
1998-11-01,6385
1998-12-01,6337
1999-01-01,6249
1999-02-01,6248
1999-03-01,6263
1999-04-01,6313
1999-05-01,6291
1999-06-01,6341
1999-07-01,6386
1999-08-01,6243
1999-09-01,6120
1999-10-01,6063
1999-11-01,6039
1999-12-01,5950
2000-01-01,6013
2000-02-01,5961
2000-03-01,5880
2000-04-01,5900
2000-05-01,5779
2000-06-01,5670
2000-07-01,5569
2000-08-01,5654
2000-09-01,5717
2000-10-01,5833
2000-11-01,5694
2000-12-01,5742
2001-01-01,5817
2001-02-01,5959
2001-03-01,6024
2001-04-01,5736
2001-05-01,5885
2001-06-01,5929
2001-07-01,5959
2001-08-01,5857
2001-09-01,5857
2001-10-01,5771
2001-11-01,5854
2001-12-01,5907
2002-01-01,5735
2002-02-01,5910
2002-03-01,5845
2002-04-01,5848
2002-05-01,5859
2002-06-01,5908
2002-07-01,5808
2002-08-01,5684
2002-09-01,5780
2002-10-01,5825
2002-11-01,5728
2002-12-01,5756
2003-01-01,5810
2003-02-01,5807
